3.25509,-0.00253193+1i*(0.00311173),0.00153691+1i*(0.00215206),1.58478e-06+1i*(-1.78206e-05),-3.72931e-07+1i*(-1.45388e-07),-0.00461404+1i*(0.00286871),-9.61976e-08+1i*(-6.20716e-07),1.79905e-06+1i*(-7.31611e-06),-1.16628e-05+1i*(1.35696e-05),0.00699874+1i*(0.000173433),
3.37006,-0.00253197+1i*(0.00322272),0.00161237+1i*(0.00217382),1.66566e-06+1i*(-2.03612e-05),-4.02665e-07+1i*(-1.59414e-07),-0.00451889+1i*(0.00289941),-1.42831e-07+1i*(-6.90468e-07),1.65934e-06+1i*(-7.92443e-06),-1.19781e-05+1i*(1.45505e-05),0.0070368+1i*(0.000177514),
3.4891,-0.00253201+1i*(0.00333774),0.0016895+1i*(0.00219329),1.6613e-06+1i*(-2.3256e-05),-4.34804e-07+1i*(-1.74774e-07),-0.0044218+1i*(0.00292721),-1.99638e-07+1i*(-7.64878e-07),1.48398e-06+1i*(-8.57377e-06),-1.22782e-05+1i*(1.55805e-05),0.00707851+1i*(0.000180075),
3.61234,-0.00253206+1i*(0.00345696),0.00176816+1i*(0.00221034),1.54094e-06+1i*(-2.65465e-05),-4.69544e-07+1i*(-1.91604e-07),-0.00432296+1i*(0.00295196),-2.68114e-07+1i*(-8.43565e-07),1.26865e-06+1i*(-9.26578e-06),-1.25613e-05+1i*(1.666e-05),0.0071241+1i*(0.000180739),
3.73994,-0.00253211+1i*(0.00358055),0.00184822+1i*(0.00222487),1.26692e-06+1i*(-3.02773e-05),-5.07094e-07+1i*(-2.10052e-07),-0.00422257+1i*(0.00297352),-3.49868e-07+1i*(-9.25948e-07),1.00869e-06+1i*(-1.00021e-05),-1.28254e-05+1i*(1.77893e-05),0.00717379+1i*(0.000179077),
3.87204,-0.00253216+1i*(0.00370866),0.00192953+1i*(0.00223679),7.93631e-07+1i*(-3.44954e-05),-5.4768e-07+1i*(-2.30287e-07),-0.00412084+1i*(0.00299178),-4.46618e-07+1i*(-1.01122e-06),6.99053e-07+1i*(-1.07842e-05),-1.30687e-05+1i*(1.89685e-05),0.00722776+1i*(0.000174599),
4.00881,-0.00253222+1i*(0.00384149),0.00201194+1i*(0.002246),6.61744e-08+1i*(-3.92503e-05),-5.91551e-07+1i*(-2.52495e-07),-0.00401799+1i*(0.00300663),-5.60163e-07+1i*(-1.09829e-06),3.34328e-07+1i*(-1.16136e-05),-1.32894e-05+1i*(2.01977e-05),0.00728618+1i*(0.000166756),
4.1504,-0.00253228+1i*(0.00397921),0.00209529+1i*(0.00225243),-9.80951e-07+1i*(-4.45933e-05),-6.38973e-07+1i*(-2.76887e-07),-0.00391425+1i*(0.00301798),-6.92368e-07+1i*(-1.18578e-06),-9.13031e-08+1i*(-1.24918e-05),-1.34859e-05+1i*(2.1477e-05),0.00734918+1i*(0.000154932),
4.297,-0.00253234+1i*(0.00412203),0.00217941+1i*(0.00225604),-2.42535e-06+1i*(-5.05763e-05),-6.90237e-07+1i*(-3.03698e-07),-0.00380987+1i*(0.00302576),-8.45122e-07+1i*(-1.27193e-06),-5.84077e-07+1i*(-1.34202e-05),-1.36568e-05+1i*(2.28061e-05),0.00741684+1i*(0.000138444),
4.44878,-0.0025324+1i*(0.00427014),0.00226414+1i*(0.00225678),-4.35828e-06+1i*(-5.72509e-05),-7.4566e-07+1i*(-3.33197e-07),-0.00370508+1i*(0.00302994),-1.0203e-06+1i*(-1.35462e-06),-1.15068e-06+1i*(-1.43999e-05),-1.38006e-05+1i*(2.41852e-05),0.00748917+1i*(0.000116539),
4.60592,-0.00253247+1i*(0.00442378),0.00234929+1i*(0.00225462),-6.88629e-06+1i*(-6.46668e-05),-8.05589e-07+1i*(-3.65681e-07),-0.00360016+1i*(0.00303048),-1.21971e-06+1i*(-1.43127e-06),-1.79826e-06+1i*(-1.54321e-05),-1.39164e-05+1i*(2.56142e-05),0.00756613+1i*(8.83932e-05),
4.76861,-0.00253253+1i*(0.00458316),0.00243471+1i*(0.00224956),-1.01328e-05+1i*(-7.28698e-05),-8.70401e-07+1i*(-4.0149e-07),-0.00349534+1i*(0.00302739),-1.44501e-06+1i*(-1.49885e-06),-2.53447e-06+1i*(-1.65181e-05),-1.4003e-05+1i*(2.7093e-05),0.00764757+1i*(5.3118e-05),
4.93705,-0.0025326+1i*(0.00474852),0.00252023+1i*(0.00224161),-1.42396e-05+1i*(-8.18994e-05),-9.4051e-07+1i*(-4.41006e-07),-0.00339089+1i*(0.00302069),-1.69766e-06+1i*(-1.55384e-06),-3.36752e-06+1i*(-1.76588e-05),-1.40598e-05+1i*(2.86219e-05),0.00773322+1i*(9.76099e-06),
5.11143,-0.00253266+1i*(0.00492013),0.00260567+1i*(0.0022308),-1.93684e-05+1i*(-9.17858e-05),-1.01637e-06+1i*(-4.84662e-07),-0.00328704+1i*(0.00301041),-1.9788e-06+1i*(-1.59219e-06),-4.30616e-06+1i*(-1.88551e-05),-1.40861e-05+1i*(3.02012e-05),0.0078227+1i*(-4.26837e-05),
