210,3.79283e-05+1i*(-0.00224893),0+1i*(0),0+1i*(0),-7.58566e-05+1i*(0.00449786),0+1i*(0),0+1i*(0),0+1i*(0),3.79283e-05+1i*(-0.00224893),0+1i*(0),0+1i*(0),-7.58566e-05+1i*(0.00449786),0+1i*(0),0+1i*(0),0+1i*(0),3.79283e-05+1i*(-0.00224893),0+1i*(0),0+1i*(0),-7.58566e-05+1i*(0.00449786),-7.58566e-05+1i*(0.00449786),0+1i*(0),0+1i*(0),0.000151713+1i*(-0.00899573),0+1i*(0),0+1i*(0),0+1i*(0),-7.58566e-05+1i*(0.00449786),0+1i*(0),0+1i*(0),0.000151713+1i*(-0.00899573),0+1i*(0),0+1i*(0),0+1i*(0),-7.58566e-05+1i*(0.00449786),0+1i*(0),0+1i*(0),0.000151713+1i*(-0.00899573),
220,3.45595e-05+1i*(-0.00214676),0+1i*(0),0+1i*(0),-6.91191e-05+1i*(0.00429352),0+1i*(0),0+1i*(0),0+1i*(0),3.45595e-05+1i*(-0.00214676),0+1i*(0),0+1i*(0),-6.91191e-05+1i*(0.00429352),0+1i*(0),0+1i*(0),0+1i*(0),3.45595e-05+1i*(-0.00214676),0+1i*(0),0+1i*(0),-6.91191e-05+1i*(0.00429352),-6.91191e-05+1i*(0.00429352),0+1i*(0),0+1i*(0),0.000138238+1i*(-0.00858705),0+1i*(0),0+1i*(0),0+1i*(0),-6.91191e-05+1i*(0.00429352),0+1i*(0),0+1i*(0),0.000138238+1i*(-0.00858705),0+1i*(0),0+1i*(0),0+1i*(0),-6.91191e-05+1i*(0.00429352),0+1i*(0),0+1i*(0),0.000138238+1i*(-0.00858705),
230,3.16204e-05+1i*(-0.00205347),0+1i*(0),0+1i*(0),-6.32408e-05+1i*(0.00410694),0+1i*(0),0+1i*(0),0+1i*(0),3.16204e-05+1i*(-0.00205347),0+1i*(0),0+1i*(0),-6.32408e-05+1i*(0.00410694),0+1i*(0),0+1i*(0),0+1i*(0),3.16204e-05+1i*(-0.00205347),0+1i*(0),0+1i*(0),-6.32408e-05+1i*(0.00410694),-6.32408e-05+1i*(0.00410694),0+1i*(0),0+1i*(0),0.000126482+1i*(-0.00821388),0+1i*(0),0+1i*(0),0+1i*(0),-6.32408e-05+1i*(0.00410694),0+1i*(0),0+1i*(0),0.000126482+1i*(-0.00821388),0+1i*(0),0+1i*(0),0+1i*(0),-6.32408e-05+1i*(0.00410694),0+1i*(0),0+1i*(0),0.000126482+1i*(-0.00821388),
240,2.90408e-05+1i*(-0.00196795),0+1i*(0),0+1i*(0),-5.80816e-05+1i*(0.00393589),0+1i*(0),0+1i*(0),0+1i*(0),2.90408e-05+1i*(-0.00196795),0+1i*(0),0+1i*(0),-5.80816e-05+1i*(0.00393589),0+1i*(0),0+1i*(0),0+1i*(0),2.90408e-05+1i*(-0.00196795),0+1i*(0),0+1i*(0),-5.80816e-05+1i*(0.00393589),-5.80816e-05+1i*(0.00393589),0+1i*(0),0+1i*(0),0.000116163+1i*(-0.00787179),0+1i*(0),0+1i*(0),0+1i*(0),-5.80816e-05+1i*(0.00393589),0+1i*(0),0+1i*(0),0.000116163+1i*(-0.00787179),0+1i*(0),0+1i*(0),0+1i*(0),-5.80816e-05+1i*(0.00393589),0+1i*(0),0+1i*(0),0.000116163+1i*(-0.00787179),
250,2.67645e-05+1i*(-0.00188926),0+1i*(0),0+1i*(0),-5.35289e-05+1i*(0.00377852),0+1i*(0),0+1i*(0),0+1i*(0),2.67645e-05+1i*(-0.00188926),0+1i*(0),0+1i*(0),-5.35289e-05+1i*(0.00377852),0+1i*(0),0+1i*(0),0+1i*(0),2.67645e-05+1i*(-0.00188926),0+1i*(0),0+1i*(0),-5.35289e-05+1i*(0.00377852),-5.35289e-05+1i*(0.00377852),0+1i*(0),0+1i*(0),0.000107058+1i*(-0.00755704),0+1i*(0),0+1i*(0),0+1i*(0),-5.35289e-05+1i*(0.00377852),0+1i*(0),0+1i*(0),0.000107058+1i*(-0.00755704),0+1i*(0),0+1i*(0),0+1i*(0),-5.35289e-05+1i*(0.00377852),0+1i*(0),0+1i*(0),0.000107058+1i*(-0.00755704),
260,2.47456e-05+1i*(-0.00181662),0+1i*(0),0+1i*(0),-4.94913e-05+1i*(0.00363325),0+1i*(0),0+1i*(0),0+1i*(0),2.47456e-05+1i*(-0.00181662),0+1i*(0),0+1i*(0),-4.94913e-05+1i*(0.00363325),0+1i*(0),0+1i*(0),0+1i*(0),2.47456e-05+1i*(-0.00181662),0+1i*(0),0+1i*(0),-4.94913e-05+1i*(0.00363325),-4.94913e-05+1i*(0.00363325),0+1i*(0),0+1i*(0),9.89825e-05+1i*(-0.0072665),0+1i*(0),0+1i*(0),0+1i*(0),-4.94913e-05+1i*(0.00363325),0+1i*(0),0+1i*(0),9.89825e-05+1i*(-0.0072665),0+1i*(0),0+1i*(0),0+1i*(0),-4.94913e-05+1i*(0.00363325),0+1i*(0),0+1i*(0),9.89825e-05+1i*(-0.0072665),
270,2.29469e-05+1i*(-0.00174937),0+1i*(0),0+1i*(0),-4.58937e-05+1i*(0.00349873),0+1i*(0),0+1i*(0),0+1i*(0),2.29469e-05+1i*(-0.00174937),0+1i*(0),0+1i*(0),-4.58937e-05+1i*(0.00349873),0+1i*(0),0+1i*(0),0+1i*(0),2.29469e-05+1i*(-0.00174937),0+1i*(0),0+1i*(0),-4.58937e-05+1i*(0.00349873),-4.58937e-05+1i*(0.00349873),0+1i*(0),0+1i*(0),9.17875e-05+1i*(-0.00699746),0+1i*(0),0+1i*(0),0+1i*(0),-4.58937e-05+1i*(0.00349873),0+1i*(0),0+1i*(0),9.17875e-05+1i*(-0.00699746),0+1i*(0),0+1i*(0),0+1i*(0),-4.58937e-05+1i*(0.00349873),0+1i*(0),0+1i*(0),9.17875e-05+1i*(-0.00699746),
280,2.13373e-05+1i*(-0.00168691),0+1i*(0),0+1i*(0),-4.26747e-05+1i*(0.00337382),0+1i*(0),0+1i*(0),0+1i*(0),2.13373e-05+1i*(-0.00168691),0+1i*(0),0+1i*(0),-4.26747e-05+1i*(0.00337382),0+1i*(0),0+1i*(0),0+1i*(0),2.13373e-05+1i*(-0.00168691),0+1i*(0),0+1i*(0),-4.26747e-05+1i*(0.00337382),-4.26747e-05+1i*(0.00337382),0+1i*(0),0+1i*(0),8.53493e-05+1i*(-0.00674764),0+1i*(0),0+1i*(0),0+1i*(0),-4.26747e-05+1i*(0.00337382),0+1i*(0),0+1i*(0),8.53493e-05+1i*(-0.00674764),0+1i*(0),0+1i*(0),0+1i*(0),-4.26747e-05+1i*(0.00337382),0+1i*(0),0+1i*(0),8.53493e-05+1i*(-0.00674764),
290,1.98914e-05+1i*(-0.00162876),0+1i*(0),0+1i*(0),-3.97828e-05+1i*(0.00325751),0+1i*(0),0+1i*(0),0+1i*(0),1.98914e-05+1i*(-0.00162876),0+1i*(0),0+1i*(0),-3.97828e-05+1i*(0.00325751),0+1i*(0),0+1i*(0),0+1i*(0),1.98914e-05+1i*(-0.00162876),0+1i*(0),0+1i*(0),-3.97828e-05+1i*(0.00325751),-3.97828e-05+1i*(0.00325751),0+1i*(0),0+1i*(0),7.95655e-05+1i*(-0.00651503),0+1i*(0),0+1i*(0),0+1i*(0),-3.97828e-05+1i*(0.00325751),0+1i*(0),0+1i*(0),7.95655e-05+1i*(-0.00651503),0+1i*(0),0+1i*(0),0+1i*(0),-3.97828e-05+1i*(0.00325751),0+1i*(0),0+1i*(0),7.95655e-05+1i*(-0.00651503),
300,1.85876e-05+1i*(-0.00157448),0+1i*(0),0+1i*(0),-3.71751e-05+1i*(0.00314896),0+1i*(0),0+1i*(0),0+1i*(0),1.85876e-05+1i*(-0.00157448),0+1i*(0),0+1i*(0),-3.71751e-05+1i*(0.00314896),0+1i*(0),0+1i*(0),0+1i*(0),1.85876e-05+1i*(-0.00157448),0+1i*(0),0+1i*(0),-3.71751e-05+1i*(0.00314896),-3.71751e-05+1i*(0.00314896),0+1i*(0),0+1i*(0),7.43503e-05+1i*(-0.00629792),0+1i*(0),0+1i*(0),0+1i*(0),-3.71751e-05+1i*(0.00314896),0+1i*(0),0+1i*(0),7.43503e-05+1i*(-0.00629792),0+1i*(0),0+1i*(0),0+1i*(0),-3.71751e-05+1i*(0.00314896),0+1i*(0),0+1i*(0),7.43503e-05+1i*(-0.00629792),
