freq_Hz,passivity_index,shifted_passivity,max_phase_deg,nr_phase_deg,nr_zero_margin,small_gain,shortage_passivity,min_real_eig,dw_margin
23.5983346678,-0.000608607281501,-0.000608607281501,89.9844186902,180,-0.000250167469921,0.100010785708,0.000608607281501,2.71902544577e-05,-0.000250167469921
26.5294846443,0.0008534736271,0.0008534736271,89.1274012802,177,0.0008534736271,0.124922314279,0,0.00118790510501,0.0008534736271
29.8247128622,0.00105254802695,0.00105254802695,87.8453892321,177,0.00105254802695,0.180669653445,0,0.00107012016895,0.00105254802695
33.5292414925,0.00063716780713,0.00063716780713,87.5186123596,177,0.00149774445962,0.441591885481,0,0.000980111954533,0.00149774445962
37.6939097539,-0.000569286678785,-0.000569286678785,87.519206261,180,0.021313227583,0.340863516957,0.000569286678785,0.000930327698928,0.021313227583
42.375871606,-0.000733499975391,-0.000733499975391,86.9951664714,180,0.019899358655,0.0594724467981,0.000733499975391,0.00106579482284,0.019899358655
47.639380104,4.12728001941e-05,4.12728001941e-05,88.2203949447,177,0.00606719733359,0.0286897628103,0,0.000603647533074,0.00606719733359
53.5566691771,0.000313581793725,0.000313581793725,88.0178655057,177,0.0076222325515,0.110599632813,0,0.000631032473575,0.0076222325515
60.2089449334,0.00037565183319,0.00037565183319,88.0368234669,177,0.0157931103069,0.274638734681,0,0.000587709207397,0.0157931103069
67.6875000946,0.000366738025735,0.000366738025735,88.1817136051,177,0.0160081954791,0.16220926434,0,0.000510485656315,0.0160081954791
76.0949668546,0.000324429538711,0.000324429538711,88.4335624532,177,0.0149972406827,0.0902136130279,0,0.000410651108468,0.0149972406827
85.5467253557,0.000291693523548,0.000291693523548,88.6075623655,177,0.0139570885535,0.0598874113677,0,0.000339408510627,0.0139570885535
96.1724871115,0.0002456615422,0.0002456615422,88.7996482993,177,0.0129343080519,0.0435164618496,0,0.000271058462348,0.0129343080519
108.118075108,0.000204599299857,0.000204599299857,88.9603425745,177,0.011943776898,0.0331630759047,0,0.000216762449252,0.011943776898
121.547425008,0.000172790888038,0.000172790888038,89.0931867605,177,0.0109954615188,0.0239858006278,0,0.000174042138957,0.0109954615188
136.64483493,0.000135710959481,0.000135710959481,89.2039766749,177,0.0100941084188,0.0228430420536,0,0.000140251214164,0.0100941084188
153.617494667,0.000111201989819,0.000111201989819,89.2974380219,177,0.00924306693338,0.0188860921156,0,0.00011334543942,0.00924306693338
172.698329066,9.00916941695e-05,9.00916941695e-05,89.37736283,177,0.00844347025528,0.0155825403846,0,9.17597969875e-05,0.00844347025528
